word,meaning,example,example_ko
artwork,예술 작품,You can see all of his artworks in this museum.,이 미술관에서 그의 모든 예술 작품을 볼 수 있다.
beast,야수,The lion is the king of beasts.,사자는 야수의 왕이다.
create,"만들다, 창조하다",The cook created a new dish.,그 요리사는 새로운 요리를 만들었다.
emotion,감정,Her face didn’t show any emotion.,그녀의 얼굴에는 아무런 감정도 드러나지 않았다.
exhibit,전시하다,She exhibits her paintings at this art gallery.,그녀는 이 미술관에 자신의 그림을 전시한다.
exhibition,전시회,The exhibition is about traditional arts.,그 전시회는 전통 예술에 관한 것이다.
expensive,비싼,New cars are expensive.,새 차는 비싸다.
express,"표현하다, 나타내다",Nick expressed his ideas clearly.,닉은 자신의 생각을 분명하게 표현했다.
gallery,미술관,Many people visited the art gallery today.,오늘 많은 사람들이 그 미술관을 방문했다.
nap,낮잠,I usually take a nap after lunch.,나는 보통 점심 식사 후에 낮잠을 잔다.
own,자신의,He has his own room.,그에게는 자기만의 방이 있다.
price,"값, 가격",This toy has a high price.,이 장난감은 가격이 비싸다.
scary,무서운,I had a really scary dream last night.,나는 어젯밤에 정말 무서운 꿈을 꾸었다.
shape,"모양, 형태",What shape is the table?,그 탁자는 어떤 모양이니?
shell,"껍데기, 껍질",They are collecting shells on the beach.,그들은 해변에서 조개껍데기를 모으고 있다.
simple,"단순한, 간단한",These cups have simple designs.,이 컵들은 단순한 디자인을 가지고 있다.
snail,달팽이,A snail is moving slowly.,달팽이 한 마리가 천천히 움직이고 있다.
strange,이상한,She heard a strange sound.,그녀는 이상한 소리를 들었다.
success,성공,The film was a great success.,그 영화는 크게 성공했다.
trace,"선을 따라가다, 따라 그리다",Trace the lines with your finger.,손가락으로 선을 따라가세요.
unique,독특한,These potatoes look unique.,이 감자들은 독특해 보인다.
wild,강렬한; 야생의,Wild colors are popular in modern art. / Lions are wild animals.,강렬한 색은 현대 미술에서 인기가 있다. / 사자는 야생 동물이다.
at first,처음에,Some students were nervous at first.,몇몇 학생들은 처음에 긴장했다.
give up,포기하다,She didn’t give up her dream.,그녀는 자신의 꿈을 포기하지 않았다.
look like,"~처럼 보이다, ~인 것 같다",It looks like a balloon.,그것은 풍선처럼 보인다.
